,ws,start,end,elapsed,dt_start,dt_end
0,16,1631597090.71843,1631597106.0841465,15.365716457366943,2021-09-14 05:25:00,2021-09-14 05:25:00
1,32,1631597918.1215515,1631597980.2852464,62.16369485855103,2021-09-14 05:39:00,2021-09-14 05:40:00
2,48,1631598800.2678735,1631598869.627908,69.3600344657898,2021-09-14 05:53:00,2021-09-14 05:54:00
3,32,1631598912.797118,1631599029.308267,116.51114916801453,2021-09-14 05:55:00,2021-09-14 05:57:00
4,48,1631599104.233629,1631599173.3086026,69.07497358322144,2021-09-14 05:58:00,2021-09-14 06:00:00
5,64,1631599756.4951816,1631599827.1323917,70.63720989227295,2021-09-14 06:09:00,2021-09-14 06:10:00
6,16,1631600347.9512188,1631600486.0197608,138.0685420036316,2021-09-14 06:19:00,2021-09-14 06:21:00
7,48,1631601494.4845665,1631601574.5097902,80.02522373199463,2021-09-14 06:38:00,2021-09-14 06:40:00
8,32,1631601675.2657137,1631601810.5801303,135.31441688537598,2021-09-14 06:41:00,2021-09-14 06:44:00
9,48,1631601890.4454343,1631601960.9530933,70.50765895843506,2021-09-14 06:45:00,2021-09-14 06:46:00
10,32,1631602151.700581,1631602218.3558702,66.65528917312622,2021-09-14 06:49:00,2021-09-14 06:50:00
11,64,1631603283.016394,1631603392.259216,109.242821931839,2021-09-14 07:08:00,2021-09-14 07:10:00
12,32,1631603970.676689,1631604034.9266586,64.24996972084045,2021-09-14 07:20:00,2021-09-14 07:21:00
13,48,1631605100.0602396,1631605176.0483258,75.9880862236023,2021-09-14 07:38:00,2021-09-14 07:40:00
14,48,1631605255.089146,1631605366.352694,111.26354789733888,2021-09-14 07:41:00,2021-09-14 07:43:00
15,16,1631605761.878693,1631605840.882511,79.00381779670715,2021-09-14 07:49:00,2021-09-14 07:51:00
